model4, MiNg_$100_MISO-W_2035, 0.21549148559570314, 1.1501841346422832, 1.3656756202379863, optimal
model5, MiNg_$100_MISO-W_2035, 0.33771224816640216, 4.0821928024292, 4.4199050505956015, optimal
model6, MiNg_$100_MISO-W_2035, 0.17830086549123128, 0.9242377996444702, 1.1025386651357014, optimal
model3, MiNg_$150_MISO-W_2035, 0.4901165803273519, 5.088158313433329, 5.578274893760681, optimal
model4, MiNg_$150_MISO-W_2035, 0.21140859921773275, 1.120574454466502, 1.3319830536842348, optimal
model5, MiNg_$150_MISO-W_2035, 0.4453597823778788, 3.929210170110067, 4.374569952487946, optimal
model6, MiNg_$150_MISO-W_2035, 0.16400400002797444, 0.6644897818565368, 0.8284937818845113, optimal
model3, MiNg_$100_NYISO_2035, 0.4475540995597839, 4.486681318283081, 4.9342354178428645, optimal
model4, MiNg_$100_NYISO_2035, 0.22965654929478962, 1.1159868478775024, 1.3456433971722919, optimal
model5, MiNg_$100_NYISO_2035, 0.4112158497174581, 3.494304132461548, 3.905519982179006, optimal
model6, MiNg_$100_NYISO_2035, 0.16380351781845093, 0.8003416697184245, 0.9641451875368754, optimal
model3, MiNg_$150_NYISO_2035, 0.47201284567515056, 3.707337967554728, 4.1793508132298784, optimal
model4, MiNg_$150_NYISO_2035, 0.23571598132451374, 0.6740748325983683, 0.9097908139228821, optimal
model5, MiNg_$150_NYISO_2035, 0.483226736386617, 2.479195280869802, 2.962422017256419, optimal
model6, MiNg_$150_NYISO_2035, 0.20861682891845704, 0.7836970647176107, 0.9923138936360677, optimal
model3, MiNg_$100_PJM-W_2035, 0.39062341849009197, 6.684320398171743, 7.074943816661835, optimal
model4, MiNg_$100_PJM-W_2035, 0.27284661928812665, 1.2152485013008119, 1.4880951205889386, optimal
model5, MiNg_$100_PJM-W_2035, 0.4136950214703878, 4.534173099199931, 4.947868120670319, optimal
model6, MiNg_$100_PJM-W_2035, 0.21228093306223553, 1.2865280985832215, 1.498809031645457, optimal
model3, MiNg_$150_PJM-W_2035, 0.44690150022506714, 5.779525967439016, 6.226427467664083, optimal
model4, MiNg_$150_PJM-W_2035, 0.22343018054962158, 1.190780516465505, 1.4142106970151265, optimal
model5, MiNg_$150_PJM-W_2035, 0.8856265346209208, 3.001971248785655, 3.8875977834065756, optimal
model6, MiNg_$150_PJM-W_2035, 0.20988118251164753, 0.8150599797566732, 1.0249411622683207, optimal
